hotel_name,rating,review_count,hotel_rank,amenities,languages,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100,lat_long_link,best_features_as_per_reviews,city,cuisines,restaurant_names,lat,lon
Sonder | Inverness Mews,1.0,1.0,865.0,"['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Wifi', 'Concierge', 'Non-smoking hotel', 'Express check-in / check-out', 'Clothes dryer', 'Self-serve laundry', 'Washing machine', 'Desk', 'Dining area', 'Seating area', 'Wardrobe / wardrobe', 'Coffee / tea maker', 'Dishwasher', 'Cable / satellite TV', 'Bath / shower', 'Iron', 'Private bathrooms', 'Oven', 'Refrigerator', 'Stovetop', 'Electric kettle', 'Kitchenware', 'Flatscreen TV', 'Complimentary toiletries', 'Hair dryer', 'Non-smoking rooms', 'Suites']","['English', 'French', 'Spanish']",[],,,160.0,17.0,100.0,"76 Inverness Mews, London W2 3JQ England","['Cleanliness', 'Service']",London,{},[],51.5127124,-0.18736639297893315
The Cottage Inn,2.0,5.0,443.0,"['Bar / lounge', 'Restaurant', 'Refrigerator']",['None'],[],,,138.0,35.0,100.0,"67-75 Euston Street, London NW1 2ET England","['Location', 'Cleanliness', 'Service', 'Value']",London,{},[],51.527108899999995,-0.1351318
Marble Apartments,1.0,1.0,864.0,[],['None'],[],9987.0,Booking.com,50.0,11.0,78.0,"Effra Court Brixton Hill Brixton Hill, London SW2 1RB England","['Location', 'Cleanliness', 'Service']",London,{},[],51.45847790000001,-0.1177366518610613
Delta Avenue,2.0,4.0,862.0,[],['None'],[],,,162.0,47.0,100.0,"63-65 Camden High Street, London NW1 7JL England",['Service'],London,{},[],51.536060600000006,-0.14022076139566564
OYO Flagship 30379 Kings Ave New,2.0,3.0,994.0,[],['None'],[],,,89.0,6.0,66.0,"70 Kings Avenue, London SW4 8BH England","['Location', 'Service', 'Value']",London,{},[],51.45335015000001,-0.1302714634807203
Apartments Inn London - London Bridge,1.5,3.0,861.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Shared kitchen', 'Dry cleaning', 'Washing machine', 'Soundproof rooms', 'Safe', 'Seating area', 'Separate dining area', 'Microwave', 'Refrigerator', 'Bath / shower', 'Complimentary toiletries', 'Hair dryer', 'Family rooms']","['English', 'Russian', 'Spanish', 'Chinese']",[],,,169.0,37.0,100.0,"142 Union St Southwark, London SE1 0FR England","['Cleanliness', 'Service']",London,{},[],51.5038489,-0.099112586183384
Sonder | The Henry,1.0,1.0,993.0,"['Free High Speed Internet (WiFi)', 'Wifi', 'Complimentary instant cofffee', 'Complimentary tea', 'Non-smoking hotel', 'Express check-in / check-out', 'Air conditioning', 'Iron', 'Private bathrooms', 'Flatscreen TV', 'Complimentary toiletries', 'Non-smoking rooms', 'Family rooms']","['English', 'French', 'Spanish']",[],,,276.0,64.0,100.0,"23 Leinster Gardens, London W2 3AN England","['Service', 'Value']",London,{},[],51.5124369,-0.18371548120689574
Guess Bungalow Wembley,1.0,1.0,451.0,[],['None'],[],7284.0,Booking.com,71.0,5.0,69.0,"79 Charterhouse Avenue, London HA0 3BU England","['Service', 'Value']",London,{},[],51.5559148,-0.3088551
Belvedere Aldgate,2.0,6.0,881.0,"['Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Washing machine', 'Seating area', 'Sofa', 'Clothes rack', 'Iron', 'Kitchenette', 'Dishwasher', 'Bath / shower', 'Complimentary toiletries', 'Wake-up service / alarm clock', 'Microwave', 'Refrigerator', 'Kitchenware', 'Hair dryer', 'Family rooms']","['English', 'French', 'Spanish', 'Bulgarian']",[],,,347.0,55.0,100.0,"Cityscape Apartments 43 Heneage Street, London E1 5LJ England","['Location', 'Cleanliness', 'Service']",London,{},[],51.51920745,-0.06960846832855003
Brick Lane Stay,1.0,1.0,448.0,[],['None'],[],4824.0,Agoda.com,416.0,67.0,100.0,"50 Brick Lane, London E1 6RF England",[],London,{},[],51.5185241,-0.07125129269753812
